key,title,year,authors,reviewer1_decision,ai_decision,ai_reason,agreement
rayyan-486160145,Outcomes of a bedside ultrasound-guided peripherally-inserted central catheter placement across critically-ill older patients.,,Lee K and Yoon KW and Kang M and Lee D,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160146,Tunneled peripherally inserted central catheter versus non-tunneled and its effects in clinical outcomes: A multicenter randomized clinical trial prot,,Ceratti RDN and Taxbro K and Chopra V and Hansel LA and Salini CG and Brum ID an,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160147,[Clinical practice guideline for point-of-care ultrasound-guided peripherally inserted central catheter placement in neonates (2026)].,,,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160148,Predictors of Contrast Extravasation in the Emergency Department: A Case-Control Multi-Center Retrospective Study.,,Cooper G and Downing JV and Lin Y and Yang JM and Asuncion S and Sutherland M an,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160149,Ultra long peripheral catheter versus accelerated Seldinger technique long peripheral catheter in difficult intravenous access patients (ULAST): a pra,,Pieteraerens W and Vanhonacker D and Beeckman K and Torsy T,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160150,Prediction of failure risk on the first attempt of peripheral puncture: Secondary analysis of the SPECTRA control group.,,Prates JDS and Hansel LA and Junges M and Cavalcanti ACD and de Almeida Neto OP ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160151,Vascular access in the newborn: a position paper of Neonatal European Vascular Access Teams (NEVAT).,,Barone G and Piersigilli F and Pittiruti M,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160152,The Radial Artery Occlusion Paradox: The Larger-Bore Sheath via the Thinner Distal Radial Artery for Coronary Interventional Procedures.,,Zhu Q and Li J and Lu J and Liu H and Zong B and Liu Y and Xu D and Lv N and Yin,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160153,Distal transradial access for percutaneous coronary intervention: a single-center randomized controlled study (DRAGON study).,,Liu M and Du Y and Cui C and Zhai J and Yu W and Zhang H and Liu H and He X and ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160154,Risk factors for deep vein thrombosis during peripherally inserted central catheter-related infections: A retrospective study.,,Petitgas P and Bun R and Tounkara B and Simac C and Bertolotti A and Poubeau P a,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160155,Polyurethane Peripheral Venous Catheter as a Permanent Microvascular Graft in a Rat Model: Potential Application as an Artificial Vascular Graft in Di,,Gunsoy Z and Ciftci SV and Topcu ME and Golgelioglu F and Sayer G and Oguzkaya S,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160156,Innovative Use of a Pediatric Double-Lumen Central Venous Catheter as a Midline Substitute in Adults With Difficult Venous Access: A Report of Two Cas,,Mantri T and Burad J and Ramachandran S,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160157,"Comparison of procedural duration among ultrasound-guided IVs, mini-midline catheters, and central venous catheters inserted in the emergency departme",,Schaefer EJ and Bracey A and Ahmadi N and Brecheisen J and Rehman M and Chang AK,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160158,Fibroblastic sleeve and short peripheral catheter failures: Impact of risk factors.,,Meschia A and Giustivi D and Celano R and Cattalani M and Camilli C and Bartoli ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160159,Alternative percutaneous management of iatrogenic femoral artery pseudoaneurysms using plug-based closure devices after failed us-guided compression a,,Oncu F and Comert SB and Akkan K and Onal B and Ilgit E,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
