duplicate_title,duplicate_db,original_title,original_db,reason
Standard long IV catheters versus extended dwell catheters: a randomized comparison of ultrasound-guided catheter survival,Cochrane,Standard long IV catheters versus extended dwell catheters: A randomized comparison of ultrasound-guided catheter survival.,PubMed,DOI match: 10.1016/j.ajem.2018.07.031
Ultrasound-guided PIVC insertion: a randomised controlled trial protocol,Cochrane,Ultrasound-guided PIVC insertion: a randomised controlled trial protocol.,PubMed,DOI match: 10.12968/bjon.2023.32.14.s22
First-Attempt Success in Ultrasound-Guided vs Standard Peripheral Intravenous Catheter Insertion: the EPIC Superiority Randomized Clinical Trial,Cochrane,First-Attempt Success in Ultrasound-Guided vs Standard Peripheral Intravenous Catheter Insertion: The EPIC Superiority Randomized Clinical Trial.,PubMed,DOI match: 10.1001/jamapediatrics.2024.5581
Predictors of ultrasound-guided peripheral intravenous catheter failure: a secondary analysis of existing trial data,Cochrane,Predictors of ultrasound-guided peripheral intravenous catheter failure: A secondary analysis of existing trial data.,PubMed,DOI match: 10.1177/11297298221122118
Success of ultrasound-guided peripheral intravenous access with skin marking,Cochrane,Success of ultrasound-guided peripheral intravenous access with skin marking.,PubMed,DOI match: 10.1111/j.1553-2712.2008.00174.x
245 Comparison of Single-Lumen Midline Catheters to Long Peripheral Intravenous Lines in the Emergency Department: a Randomized Controlled Trial,Cochrane,Comparison of Single-Lumen Midline Catheters to Long Peripheral Intravenous Lines in the Emergency Department: a Randomized Controlled Trial,Cochrane,Title similarity (0.95): '245 Comparison of Single-Lumen Midline Catheters to Long Per...'
Vesicant infusates are not associated with ultrasound-guided peripheral intravenous catheter failure: a secondary analysis of existing data,Cochrane,Vesicant infusates are not associated with ultrasound-guided peripheral intravenous catheter failure: A secondary analysis of existing data.,PubMed,DOI match: 10.1371/journal.pone.0262793
Ultrasound-guided versus landmark approach for peripheral intravenous access by critical care nurses: a randomised controlled study,Cochrane,Ultrasound-guided versus landmark approach for peripheral intravenous access by critical care nurses: a randomised controlled study.,PubMed,DOI match: 10.1136/bmjopen-2017-020220
Ultra long versus standard long peripheral intravenous catheters: a randomized controlled trial of ultrasound-guided catheter survival,Cochrane,346 Ultra Long Versus Standard Long Peripheral Intravenous Catheters: a Randomized Controlled Trial of Ultrasound-Guided Catheter Survival,Cochrane,Title similarity (0.94): 'Ultra long versus standard long peripheral intravenous cathe...'
The utility of peripheral intravenous catheters inserted in the emergency department and their survivorship in the hospital,Cochrane,The Utility and Survivorship of Peripheral Intravenous Catheters Inserted in the Emergency Department.,PubMed,Title similarity (0.86): 'The utility of peripheral intravenous catheters inserted in ...'
The Utility and Survivorship of Peripheral Intravenous Catheters Inserted in the Emergency Department,Cochrane,The Utility and Survivorship of Peripheral Intravenous Catheters Inserted in the Emergency Department.,PubMed,DOI match: 10.1016/j.annemergmed.2019.02.003
Assertiveness and peripheral intravenous catheters dwell time with ultrasonography-guided insertion in children and adolescents,Cochrane,[Assertiveness and peripheral intravenous catheters dwell time with ultrasonography-guided insertion in children and adolescents].,PubMed,PMID match: 24601127
"Long guidewire peripheral intravenous catheters in emergency departments for management of difficult intravenous access: a multicenter, pragmatic, randomized controlled trial",Cochrane,"Long guidewire peripheral intravenous catheters in emergency departments for management of difficult intravenous access: A multicenter, pragmatic, randomized controlled trial.",PubMed,DOI match: 10.1111/acem.15004
Ultrasonography-Guided Peripheral Intravenous Access in Children: a Randomized Controlled Trial,Cochrane,Ultrasonography-Guided Peripheral Intravenous Access in Children: A Randomized Controlled Trial.,PubMed,DOI match: 10.1097/nan.0000000000000126
Ultrasonographic Detection of Micro-Bubbles in the Right Atrium to Confirm Peripheral Venous Catheter Position in Children,Cochrane,Ultrasonographic Detection of Micro-Bubbles in the Right Atrium to Confirm Peripheral Venous Catheter Position in Children.,PubMed,DOI match: 10.1097/ccm.0000000000003916
Ultralong Versus Standard Long Peripheral Intravenous Catheters: a Randomized Controlled Trial of Ultrasonographically Guided Catheter Survival,Cochrane,Ultralong Versus Standard Long Peripheral Intravenous Catheters: A Randomized Controlled Trial of Ultrasonographically Guided Catheter Survival.,PubMed,DOI match: 10.1016/j.annemergmed.2019.11.013
Peripheral intravenous catheter securement with tissue adhesive compared to conventional dressing: a randomized controlled trial,Cochrane,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
Long versus conventional peripheral intravenous catheters to reduce venipunctures during hospital stay: a randomized controlled trial,Cochrane,Long versus conventional peripheral intravenous catheters to reduce venipunctures during hospital stay: A randomized controlled trial.,PubMed,DOI match: 10.1177/11297298251385595
Incidence of fibroblastic sleeve in midline catheters: A pilot study in a non-intensive medical department,Embase,Incidence of fibroblastic sleeve in midline catheters: A pilot study in a non-intensive medical department.,PubMed,DOI match: 10.1177/11297298251356774
Polyurethane Peripheral Venous Catheter as a Permanent Microvascular Graft in a Rat Model: Potential Application as an Artificial Vascular Graft in Digital Replantation,Embase,Polyurethane Peripheral Venous Catheter as a Permanent Microvascular Graft in a Rat Model: Potential Application as an Artificial Vascular Graft in Digital Replantation.,PubMed,DOI match: 10.1016/j.avsg.2025.11.146
